date,open,high,low,close,volume
2025-01-07,2.3944194146974867e-05,2.427182187830797e-05,2.3791191742103853e-05,2.403150681020591e-05,571869682.9445761
2025-01-08,2.403150681020591e-05,2.2046317536781688e-05,2.160975679347908e-05,2.1828037165130384e-05,754403241.8587847
2025-01-09,2.1828037165130384e-05,2.1515578264455603e-05,2.1089527209713905e-05,2.1302552737084754e-05,614326489.7907437
2025-01-10,2.1302552737084754e-05,2.1294874060061877e-05,2.0873193385605203e-05,2.108403372283354e-05,514685665.00466585
2025-01-11,2.108403372283354e-05,2.1797433136958745e-05,2.1365800797613028e-05,2.1581616967285887e-05,458715983.25313526
2025-01-12,2.1581616967285887e-05,2.2434712284415015e-05,2.1990460556010756e-05,2.2212586420212886e-05,394270859.76061785
2025-01-13,2.2212586420212886e-05,2.1747007839737283e-05,2.131637402112862e-05,2.153169093043295e-05,280780521.3965362
2025-01-14,2.153169093043295e-05,2.141537446950958e-05,2.0991307648331174e-05,2.1203341058920377e-05,611955897.0940037
2025-01-15,2.1203341058920377e-05,2.1859512342173012e-05,2.142665071163493e-05,2.164308152690397e-05,323902612.09272766
2025-01-16,2.164308152690397e-05,2.3062700794035907e-05,2.2606013649599554e-05,2.283435722181773e-05,573936803.0383416
2025-01-17,2.283435722181773e-05,2.221839256432679e-05,2.177842439473616e-05,2.1998408479531475e-05,463253527.2411236
2025-01-18,2.1998408479531475e-05,2.4464360075660554e-05,2.3979917301885094e-05,2.4222138688772824e-05,1058760598.0681534
2025-01-19,2.4222138688772824e-05,2.2946845547938236e-05,2.2492452566790945e-05,2.271964905736459e-05,697109115.9969524
2025-01-20,2.271964905736459e-05,2.0495870834741204e-05,2.0090012006330486e-05,2.0292941420535845e-05,1325504426.1392498
2025-01-21,2.0292941420535845e-05,2.047698858487348e-05,2.0071503662400738e-05,2.027424612363711e-05,1185821275.4094336
2025-01-22,2.027424612363711e-05,2.1110969130727792e-05,2.069293013804011e-05,2.090194963438395e-05,634521921.7565223
2025-01-23,2.090194963438395e-05,2.0383556264689494e-05,1.997992148717089e-05,2.0181738875930192e-05,290532527.0169023
2025-01-24,2.0181738875930192e-05,2.0349184646861194e-05,1.99462304954382e-05,2.0147707571149698e-05,404555451.5065852
2025-01-25,2.0147707571149698e-05,2.0111006833758732e-05,1.97127690746744e-05,1.9911887954216567e-05,296430329.0882777
2025-01-26,1.9911887954216567e-05,2.017541130772413e-05,1.9775898212521674e-05,1.99756547601229e-05,179459943.51769036
2025-01-27,1.99756547601229e-05,1.92665967618923e-05,1.888507999433008e-05,1.907583837811119e-05,181979036.35063133
2025-01-28,1.907583837811119e-05,1.9126935165309417e-05,1.874818397391715e-05,1.8937559569613283e-05,560361026.0386686
2025-01-29,1.8937559569613283e-05,1.8147730164156877e-05,1.7788369170807236e-05,1.7968049667482056e-05,292831835.4013573
2025-01-30,1.7968049667482056e-05,1.8484187364786824e-05,1.811816385261283e-05,1.8301175608699826e-05,300925722.5472597
2025-01-31,1.8301175608699826e-05,1.887128848830419e-05,1.849759960734767e-05,1.868444404782593e-05,243083937.86118034
2025-02-01,1.868444404782593e-05,1.906291837959425e-05,1.8685434847325054e-05,1.8874176613459652e-05,332181418.91979724
2025-02-02,1.8874176613459652e-05,1.7861456599127022e-05,1.7507764389243315e-05,1.768461049418517e-05,272991392.43676144
